StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
09:35:59.196096, e        ,udp,10.32.92.230,33368, ->,70.0.0.1,domain,4,280,INT
09:35:59.256884, e        ,udp,10.32.92.230,49047, ->,70.0.0.1,domain,4,280,INT
09:36:00.256081, e *      ,tcp,10.32.92.230,57970, ->,69.42.215.170,ircd,12,844,RST
09:36:00.256563, e *      ,tcp,10.32.92.230,57971, ->,69.42.215.170,ircd,10,712,RST
09:36:02.258121, e *      ,tcp,10.32.92.230,57972, ->,69.42.215.170,ircd,10,712,RST
09:36:02.258547, e *      ,tcp,10.32.92.230,57973, ->,69.42.215.170,ircd,10,712,RST
09:36:02.391966, e        ,udp,10.32.92.230,58018, ->,70.0.0.1,domain,4,348,INT
09:36:02.828863, e        ,arp,10.32.92.5,,who,10.32.92.1,,4,240,CON
09:36:04.259695, e *      ,tcp,10.32.92.230,57974, ->,69.42.215.170,ircd,10,712,RST
09:36:04.260082, e *      ,tcp,10.32.92.230,57975, ->,69.42.215.170,ircd,10,712,RST
09:36:06.261293, e *      ,tcp,10.32.92.230,57976, ->,69.42.215.170,ircd,10,712,RST
09:36:06.261679, e *      ,tcp,10.32.92.230,57977, ->,69.42.215.170,ircd,10,712,RST
09:36:08.263137, e *      ,tcp,10.32.92.230,57978, ->,69.42.215.170,ircd,12,844,RST
09:36:08.263596, e *      ,tcp,10.32.92.230,57979, ->,69.42.215.170,ircd,10,712,RST
09:36:09.197586, e        ,udp,10.32.92.230,60965, ->,70.0.0.1,domain,4,280,INT
09:36:09.263161, e        ,udp,10.32.92.230,45878, ->,70.0.0.1,domain,4,280,INT
09:36:09.929343, e        ,icmp,210.163.43.1,0x0000,<-,10.32.92.230,0x0a1a,2,2116,ECR
09:36:10.265033, e *      ,tcp,10.32.92.230,57980, ->,69.42.215.170,ircd,12,844,RST
09:36:10.265418, e *      ,tcp,10.32.92.230,57981, ->,69.42.215.170,ircd,10,712,RST
09:36:12.266877, e *      ,tcp,10.32.92.230,57982, ->,69.42.215.170,ircd,10,712,RST
09:36:12.267246, e *      ,tcp,10.32.92.230,57983, ->,69.42.215.170,ircd,10,712,RST
09:36:13.393794, e s      ,tcp,192.168.1.110,52812, ->,94.125.182.255,ircd,8,592,REQ
09:36:13.393929, e s      ,tcp,10.32.92.230,46751, ->,208.83.20.130,ircd,8,592,REQ
09:36:13.858514, e s      ,tcp,10.32.92.2,pwgippfax, ->,172.23.0.5,bb,6,372,REQ
09:36:14.268603, e *      ,tcp,10.32.92.230,57984, ->,69.42.215.170,ircd,10,712,RST
09:36:14.269240, e *      ,tcp,10.32.92.230,57985, ->,69.42.215.170,ircd,12,844,RST
09:36:16.270210, e *      ,tcp,10.32.92.230,57986, ->,69.42.215.170,ircd,10,712,RST
09:36:16.270593, e *      ,tcp,10.32.92.230,57987, ->,69.42.215.170,ircd,10,712,RST
09:36:18.272429, e *      ,tcp,10.32.92.230,57988, ->,69.42.215.170,ircd,10,712,RST
09:36:18.272880, e *      ,tcp,10.32.92.230,57989, ->,69.42.215.170,ircd,10,712,RST
